Date,Fournisseur,Montant_EUR,Description,Référence,Source,Status
2026-05-02,Qonto Archive,22235.66,Export consolidé (78 txns),QONTO-EXPORT-02mai,Qonto,Trouvé
2026-05-31,Google Ads,883.11,Facture publicité,5595163443,Google Ads,Trouvé
2026-04-30,Google Ads,227.85,Facture publicité,5570557076,Google Ads,Trouvé
2026-03-31,Google Ads,2089.98,Facture publicité,5540458951,Google Ads,Trouvé
2026-02-28,Google Ads,1191.31,Facture publicité,5507568835,Google Ads,Trouvé
2026-01-31,Google Ads,607.73,Facture publicité,5486153264,Google Ads,Trouvé
2026-06-11,Anthropic,0.00,Email #2073-2121-6384 (montant à extraire),2073-2121-6384,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2629-8959-8881 (montant à extraire),2629-8959-8881,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2557-7587-8619 (montant à extraire),2557-7587-8619,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2960-7931-5839 (montant à extraire),2960-7931-5839,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2126-5274-9485 (montant à extraire),2126-5274-9485,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2818-6060-7990 (montant à extraire),2818-6060-7990,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2451-1999-4502 (montant à extraire),2451-1999-4502,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2729-6339-4340 (montant à extraire),2729-6339-4340,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2166-2869-2619 (montant à extraire),2166-2869-2619,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2264-3971-5741 (montant à extraire),2264-3971-5741,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2157-0680-4636 (montant à extraire),2157-0680-4636,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2944-5048-2654 (montant à extraire),2944-5048-2654,Anthropic,À matcher
2026-06-11,Anthropic,0.00,Email #2220-1988-8515 (montant à extraire),2220-1988-8515,Anthropic,À matcher
